"ID","TITLE","META_DESC","FULL_SUMMARY"
"3061","Abdominal Pain","Stomach aches can be painful. Find out what might be the cause of your abdominal pain. ","<p>Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. </p> <p>Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if</p> <ul> <li> You have abdominal pain that is sudden and sharp</li> <li>You also have pain in your chest, neck or shoulder </li> <li> You're vomiting blood or have blood in your stool </li> <li> Your abdomen is stiff, hard and tender to touch </li> <li>You can't move your bowels, especially if you're also vomiting </li> </ul>"
"122","Abortion","An abortion is a medical procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. ","<p>An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional.</p> <p>The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most health care providers advise counseling. </p>"
"3063","Abscess","Abscesses are filled with pus and can occur anywhere on your body. They can be painful. Learn about types of abscesses and how they are treated. ","<p>An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. </p> <p>Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics. </p>"
"124","Acne","Looking for ways to fight unsightly zits? Both teens and adults can get acne. Learn what causes pimples and blackheads and how to manage them.","<p>Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause <a href='https://medlineplus.gov/scars.html'>scars</a>.</p> <p>No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse.</p> <p>If you have acne</p> <ul> <li> Clean your skin gently </li> <li> Try not to touch your skin </li> <li> Avoid the sun </li> </ul> <p>Treatments for acne include medicines and creams.</p> <p >NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases</p>"
"1624","Acoustic Neuroma","An acoustic neuroma is a benign tumor that grows on the cranial nerve that connects the ear to the brain. It can affect hearing and balance nerves.","<p>An acoustic neuroma is a <a href='https://medlineplus.gov/benigntumors.html'>benign tumor</a> that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include</p> <ul> <li> Loss of hearing on one side </li> <li> Ringing in ears</li> <li> Dizziness and balance problems</li> </ul> <p>The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening.</p> <p>Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it.</p> <p>If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options.</p> <p>If the tumors affect both hearing nerves, it is often because of a genetic disorder called <a href='https://medlineplus.gov/neurofibromatosis.html'>neurofibromatosis</a>.</p> <p >NIH: National Institute on Deafness and Communication Disorders</p>"
"5755","Acute Bronchitis","Bronchitis is an inflammation of the airways that carry air to your lungs. Learn about acute bronchitis symptoms, causes, and treatment","<p>Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic</a>.</p> <p>Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone.</p> <p>The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis.</p> <p>To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests.</p> <p>Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>"
"1437","Acute Lymphocytic Leukemia","Acute Lymphocytic Leukemia (ALL) or Acute Lymphoblastic Leukemia is a cancer of the white blood cells. Learn more about symptoms and treatment.","<p><a href='https://medlineplus.gov/leukemia.html'>Leukemia</a> is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in <a href='https://medlineplus.gov/childhoodleukemia.html'>children</a>.</p> <p>Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70.</p> <p>Symptoms of ALL include:</p> <ul> <li>Weakness or feeling tired</li> <li>Fever</li> <li>Easy bruising or bleeding</li> <li>Bleeding under the skin</li> <li>Shortness of breath</li> <li>Weight loss or loss of appetite</li> <li>Pain in the bones or stomach</li> <li>Pain or a feeling of fullness below the ribs</li> <li>Painless lumps in the neck, underarm, stomach, or groin</li> </ul> <p>Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.</p> <p >NIH: National Cancer Institute</p>"
"5622","Acute Myeloid Leukemia","Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.","<p><a href='https://medlineplus.gov/leukemia.html'>Leukemia</a> is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast.</p> <p>AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. </p> <p>Symptoms of AML include:</p> <ul> <li>Fever</li> <li>Shortness of breath</li> <li>Easy bruising or bleeding</li> <li>Bleeding under the skin</li> <li>Weakness or feeling tired</li> <li>Weight loss or loss of appetite</li> </ul> <p>Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.</p> <p >NIH: National Cancer Institute</p>"
"1233","Addison Disease"," Your adrenal glands makes hormones. Adrenal insufficiency or Addison disease happens if the adrenal glands don't make enough hormones. Read more. ","<p>Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance. Addison disease happens if the adrenal glands don't make enough of these hormones.</p> <p>A problem with your immune system usually causes Addison disease. The immune system mistakenly attacks your own tissues, damaging your adrenal glands. Other causes include infections and cancer.</p> <p>Symptoms include</p> <ul> <li>Weight loss </li> <li>Muscle weakness </li> <li>Fatigue that gets worse over time </li> <li>Low blood pressure </li> <li>Patchy or dark skin </li> </ul> <p>Lab tests can confirm that you have Addison disease. If you don't treat it, it can be fatal. You will need to take hormone pills for the rest of your life. If you have Addison disease, you should carry an emergency ID. It should say that you have the disease, list your medicines and say how much you need in an emergency.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
"1515","Adenoids","Your adenoids are high up in your throat. They trap germs coming in your mouth and nose. Learn about enlarged adenoids, a common problem in children.","<h3>What are adenoids?</h3> <p>Adenoids are a patch of tissue that is high up in the throat, just behind the nose. They, along with the tonsils, are part of the lymphatic system. The lymphatic system clears away infection and keeps body fluids in balance. The adenoids and tonsils work by trapping germs coming in through the mouth and nose.</p> <p>Adenoids usually start to shrink after about age 5. By the teenage years, they are almost completely gone. By then, the body has other ways to fight germs.</p> <h3>What are enlarged adenoids? </h3> <p>Enlarged adenoids are adenoids that are swollen. It is a common problem in children.</p> <h3>What causes enlarged adenoids?</h3> <p>Your child's adenoids can be enlarged, or swollen, for different reasons. It may just be that your child had enlarged adenoids at birth. Adenoids can also become enlarged when they are trying to fight off an infection. They might stay enlarged even after the infection is gone.</p> <h3>What problems can enlarged adenoids cause?</h3> <p>Enlarged adenoids can make it hard to breathe through the nose. Your child might end up breathing only through the mouth. This may cause</p> <ul> <li>A <a href='https://medlineplus.gov/drymouth.html'>dry mouth</a>, which can also lead to <a href='https://medlineplus.gov/badbreath.html'>bad breath</a></li> <li>Cracked lips</li> <li>A runny nose</li> </ul> <p>Other problems that enlarged adenoids can cause include</p> <ul> <li>Loud breathing</li> <li><a href='https://medlineplus.gov/snoring.html'>Snoring</a></li> <li>Restless sleep</li> <li><a href='https://medlineplus.gov/sleepapnea.html'>Sleep apnea</a>, where you repeatedly stop breathing for a few seconds while sleeping</li> <li><a href='https://medlineplus.gov/earinfections.html'>Ear infections</a></li> </ul> <h3>How can enlarged adenoids be diagnosed?</h3> <p>Your child's health care provider will take a medical history, check your child's ears, throat, and mouth, and feel your child's neck.</p> <p>Since the adenoids are higher up than the throat, the health care provider cannot see them just by looking through your child's mouth. To check the size of your child's adenoids, your provider may use</p> <ul> <li>A special mirror in the mouth</li> <li>A long, flexible tube with a light (an endoscope)</li> <li>An x-ray</li> </ul> <h3>What are the treatments for enlarged adenoids?</h3> <p>The treatment depends on what is causing the problem. If your child's symptoms are not too bad, he or she may not need treatment. Your child might get nasal spray to reduce the swelling, or antibiotics if the health care provider thinks that your child has a bacterial infection.</p> <p>In some cases your child may need an adenoidectomy.</p> <h3>What is an adenoidectomy and why might I my child need one?</h3> <p>An adenoidectomy is surgery to remove the adenoids. Your child might need it if</p> <ul> <li>He or she has repeated infections of the adenoids. Sometimes the infections can also cause ear infections and fluid buildup in the middle ear.</li> <li>Antibiotics can't get rid of a bacterial infection</li> <li>The enlarged adenoids block the airways</li> </ul> <p>If your child also has problems with his or her tonsils, he or she will probably have a tonsillectomy (removal of the tonsils) at the same time that the adenoids are removed.</p> <p>After having the surgery, your child usually goes home the same day. He or she will probably have some throat pain, bad breath, and a runny nose. It can take several days to feel all better.</p>"
"3920","Adhesions","Abdominal surgery is the main cause of adhesions but not the only one. Learn about the signs, symptoms, and causes this type of scar tissue. ","<p>Adhesions are bands of scar-like tissue. Normally, internal tissues and organs have slippery surfaces so they can shift easily as the body moves. Adhesions cause tissues and organs to stick together. They might connect the loops of the intestines to each other, to nearby organs, or to the wall of the abdomen. They can pull sections of the intestines out of place. This may block food from passing through the intestine.</p> <p>Adhesions can occur anywhere in the body. But they often form after surgery on the abdomen. Almost everyone who has surgery on the abdomen gets adhesions. Some adhesions don't cause any problems. But when they partly or completely <a href='https://medlineplus.gov/intestinalobstruction.html'>block the intestines</a>, they cause symptoms such as</p> <ul> <li>Severe abdominal pain or cramping</li> <li>Vomiting</li> <li>Bloating</li> <li>An inability to pass gas</li> <li>Constipation</li> </ul> <p>Adhesions can sometimes cause <a href='https://medlineplus.gov/femaleinfertility.html'>infertility in women</a> by preventing fertilized eggs from reaching the uterus.</p> <p>No tests are available to detect adhesions. Doctors usually find them during surgery to diagnose other problems.</p> <p>Some adhesions go away by themselves. If they partly block your intestines, a diet low in fiber can allow food to move easily through the affected area. If you have a complete intestinal obstruction, it is life-threatening. You should get immediate medical attention and may need surgery. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>"
"5211","Adrenal Gland Cancer","Tumors can affect adrenal glands. Most adrenal gland tumors are benign. Types of tumors include Neuroblastoma and Pheochromocytoma.","<p>Your adrenal, or suprarenal, glands are located on the top of each kidney. These glands produce hormones that you can't live without, including sex hormones and cortisol, which helps you respond to stress and has many other functions.</p> <p>A number of disorders can affect the <a href='https://medlineplus.gov/adrenalglanddisorders.html'>adrenal glands</a>, including tumors. Tumors can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. Most adrenal gland tumors are benign. They usually do not cause symptoms and may not require treatment. Malignant adrenal gland cancers are uncommon.</p> <p>Types of tumors include</p> <ul> <li>Adrenocortical carcinoma - cancer in the outer part of the gland</li> <li><a href='https://medlineplus.gov/neuroblastoma.html'>Neuroblastoma</a>, a type of childhood cancer</li> <li><a href='https://medlineplus.gov/pheochromocytoma.html'>Pheochromocytoma</a> - a rare tumor that is usually benign</li> </ul> <p>Symptoms depend on the type of cancer you have. Treatments may include surgery, chemotherapy, or radiation therapy. </p>"
