"YEAR","CNT","PI_CNT","ORG_CNT","TTL_COST"
"2000","83500","43302","2815","14558871515"
"2001","81265","43347","2684","15670175973"
"2002","83423","44757","3050","17693664156"
"2003","61612","39374","3381","19789369265"
"2004","78778","45543","3894","20592918511"
"2005","82209","47319","4012","21249189741"
"2006","81670","47801","4026","21003750215"
"2007","88886","52019","4955","26462616942"
"2008","87922","52066","5355","26117096269"
"2009","98942","53550","5573","37854363470"
"2010","93841","53409","5614","38269468866"
"2011","83642","50342","5385","32502078901"
"2012","78989","48144","5467","32900927250"
"2013","77043","47197","5239","31416774438"
"2014","76186","46932","5282","32471397530"
"2015","73431","44206","3577","32660428719"
"2016","72458","44214","3342","31919404050"
"2017","73019","44420","3081","31490526328"
"2018","74145","42825","2978","26341554900"
